title,deal_price
MHW:I - Complete Hairstyle Pack (Add-On),"Rp 85,200"
MHW:I - Complete Handler Costume Pack (Add-On),"Rp 129,000"
MHW:I - Complete Pendant Pack (Add-On),"Rp 211,200"
MHW:I - Complete Room Decor Pack (Add-On),"Rp 211,200"
MHW:I - Complete Sticker Pack (Add-On),"Rp 64,200"
MHW:I - Trendsetter Value Pack (Add-On),"Rp 85,200"
Monster Figure Bundle 1 (English/Chinese/Korean/Japanese Ver.),"Rp 167,400"
Monster Figure Bundle 2 (English/Chinese/Korean/Japanese Ver.),"Rp 167,400"
Monster Figure Bundle 3 (English/Chinese/Korean/Japanese Ver.),"Rp 226,200"
Monster Figure Bundle 4 (Add-On),"Rp 209,400"
Monster Figure Bundle 5 (Add-On),"Rp 167,400"
Back 4 Blood Annual Pass (English/Chinese/Korean/Japanese Ver.),"Rp 288,000"
1 Blue Orb (English/Chinese/Japanese Ver.),"Rp 6,500"
2 Blue Orbs (English/Chinese/Japanese Ver.),"Rp 9,500"
5 Blue Orbs (English/Chinese/Japanese Ver.),"Rp 18,500"
Lady & Trish Costume Pack (English/Chinese/Japanese Ver.),"Rp 25,000"
"Proud Souls (200,000) (English/Chinese/Japanese Ver.)","Rp 18,500"
"Red Orbs (300,000) (English/Chinese/Japanese Ver.)","Rp 12,000"
Super Nero/Super Dante/Super Vergil (English/Chinese/Japanese Ver.),"Rp 31,500"
Darksiders III Season Pass (English/Chinese/Korean/Japanese Ver.),"Rp 79,600"
Season Pass (English Ver.),"Rp 78,000"
Sofiya and the Ancient Clan PS4 & PS5 (English),"Rp 77,700"
"The Shapeshifting Detective (Simplified Chinese, English)","Rp 109,450"
Ken Follett's The Pillars of the Earth (Game),"Rp 42,900"
Silence (English/Chinese/Korean/Japanese Ver.),"Rp 27,900"
"Arietta of Spirits (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 195,300"
"The Pillar: Puzzle Escape (English, Korean, Japanese, Traditional Chinese)","Rp 34,750"
State of Mind (Game),"Rp 42,900"
"Sir Lovelot PS4 & PS5 (English, Korean, Japanese, Traditional Chinese)","Rp 55,600"
King's Quest: The Complete Collection (English Ver.),"Rp 108,800"
King's Quest: Season Pass (English Ver.),"Rp 81,600"
Monopoly Deal (English),"Rp 16,500"
Furwind (English/Chinese/Korean/Japanese Ver.),"Rp 27,800"
"Mahluk: Dark Demon (English, Japanese, Traditional Chinese)","Rp 48,650"
Alchemic Jousts (English/Chinese/Korean/Japanese Ver.),"Rp 20,000"
"Kawaii Deathu Desu (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 24,150"
"Freddy Spaghetti PS4 & PS5 (English, Japanese)","Rp 27,600"
The Long Journey Home (Game),"Rp 42,900"
"The Book of Unwritten Tales 2 (English, Korean)","Rp 83,700"
"UltraGoodness 2 PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 27,600"
"Lost Wing (English, Korean, Japanese, Traditional Chinese)","Rp 38,850"
Goodbye Deponia (Game),"Rp 13,900"
Fall of Light - Darkest Edition (English/Chinese Ver.),"Rp 41,600"
Intruders: Hide and Seek (Game),"Rp 19,900"
Shadow of Loot Box (English/Chinese/Korean/Japanese Ver.),"Rp 27,800"
Deponia (Game),"Rp 13,900"
Fast Striker (English Ver.),"Rp 30,300"
Battlezone Gold Edition (English),"Rp 47,400"
Anna's Quest (English),"Rp 41,850"
Battle Worlds: Kronos (English),"Rp 83,700"
Chaos on Deponia (Game),"Rp 13,900"
Deponia Doomsday (Game),"Rp 13,900"
"One Dog Story (English, Korean, Japanese)","Rp 59,700"
"The Letter: A  Horror Visual Novel (Simplified Chinese, English, Traditional Chinese)","Rp 167,400"
"Crossout – ""Cleaner"" Starter Bundle (English)","Rp 69,500"
"Crossout – ""Cleaner"" Starter pack (English Ver.)","Rp 69,500"
Crossout – Biter (English Ver.),"Rp 69,500"
Circuits (English/Japanese Ver.),"Rp 23,100"
Knee Deep (English),"Rp 38,500"
Brawlhalla - Collectors Pack (English/Chinese/Korean/Japanese Ver.),Unavailable
"Enlisted - Moscow/Normandy Starter Bundle (English, Japanese)","Rp 34,500"
"Enlisted - Tunisia/Berlin Starter Bundle (English, Japanese)","Rp 34,500"
Infinity Runner (English Ver.),"Rp 46,900"
Soul Axiom (English),"Rp 68,000"
1 Blue Orb (English/Chinese/Korean/Japanese Ver.),"Rp 11,250"
"100,000 Red Orbs (English/Chinese/Korean/Japanese Ver.)","Rp 15,000"
3 Blue Orbs (English/Chinese/Korean/Japanese Ver.),"Rp 22,500"
5 Blue Orbs (English/Chinese/Korean/Japanese Ver.),"Rp 33,000"
Alt Hero Colors (English/Chinese/Korean/Japanese Ver.),"Rp 22,500"
Devil May Cry 4 Special Edition - The Best (English/Chinese/Japanese Ver.),"Rp 101,700"
Unlock All Modes (English/Chinese/Japanese Ver.),"Rp 9,500"
"GRID Legends Deluxe Edition PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 372,570"
"Mafia: Definitive Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 196,000"
"Insurgency: Sandstorm - Deluxe Edition (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","Rp 499,500"
Plants vs. Zombies™ Garden Warfare 2 (English/Chinese Ver.),"Rp 70,500"
Marvel vs. Capcom: Infinite - Deluxe Edition(incl. Thai) (English/Chinese/Korean/Japanese Ver.),"Rp 162,000"
Marvel vs. Capcom: Infinite - Standard Edition(incl. Thai) (English/Chinese/Korean/Japanese Ver.),"Rp 108,000"
Call of Duty®: Black Ops 4 (English/Chinese/Korean Ver.),"Rp 267,960"
Call of Duty®: Black Ops 4 - Digital Deluxe (English/Chinese/Korean Ver.),"Rp 541,600"
The Outer Worlds (English/Chinese/Korean/Japanese Ver.),"Rp 244,200"
The Outer Worlds Expansion Pass (English/Chinese/Korean/Japanese Ver.),"Rp 288,000"
The Outer Worlds: Murder on Eridanos (English/Chinese/Korean/Japanese Ver.),"Rp 143,000"
The Outer Worlds: Peril on Gorgon (English/Chinese/Korean/Japanese Ver.),"Rp 143,000"
"Far Cry 5 + Far Cry New Dawn Deluxe Edition Bundle (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 244,750"
"Far Cry 5 Gold Edition + Far Cry New Dawn Deluxe Edition Bundle (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 321,250"
"For Honor - Digital Standard Edition (Simplified Chinese, English, Korean)","Rp 189,750"
For Honor - Marching Fire Expansion Pack (English/Chinese/Korean Ver.),"Rp 103,500"
For Honor - Year 1 Heroes Bundle (English/Chinese/Korean Ver.),"Rp 146,700"
For Honor - Year 3 Pass (English/Chinese/Korean Ver.),"Rp 103,500"
Call of Duty®: Black Ops III - Zombies Chronicles Edition (English/Chinese Ver.),"Rp 261,690"
Call of Duty®: Black Ops III - Zombies Chronicles Deluxe (English/Chinese Ver.),"Rp 520,000"
inFAMOUS Second Son™ PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 139,500"
LEGO® Marvel's Avengers Deluxe Edition (English Ver.),"Rp 197,600"
"Monster Hunter World: Iceborne Master Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 446,250"
"Monster Hunter World: Iceborne Master Edition Digital Deluxe (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 553,500"
Monster Hunter World: Iceborne (English/Chinese/Korean/Japanese Ver.),"Rp 280,060"
Monster Hunter World: Iceborne Deluxe Kit (English/Chinese/Korean/Japanese Ver.),"Rp 161,250"
Monster Hunter World: Iceborne Digital Deluxe (English/Chinese/Korean/Japanese Ver.),"Rp 398,650"
Monster Hunter: World - Complete Gesture Pack (English/Chinese/Korean/Japanese Ver.),"Rp 148,400"
Monster Hunter: World - Complete Handler Costume Pack (English/Chinese/Korean/Japanese Ver.),"Rp 88,400"
