title,deal_price
"STRANGER OF PARADISE FINAL FANTASY ORIGIN PS4 & PS5 (English, Japanese)","Rp 580,300"
"STRANGER OF PARADISE FINAL FANTASY ORIGIN PS4 & PS5 (Simplified Chinese, Korean, Traditional Chinese)","Rp 580,300"
"MONSTER HUNTER: WORLD™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 209,250"
"The Crew 2 - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 114,000"
"Tom Clancy's Rainbow Six Siege Operator Edition (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 251,650"
"Tom Clancy's Rainbow Six Siege Deluxe Edition (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 86,250"
"Tom Clancy's Rainbow Six Siege Ultimate Edition (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 371,600"
"SnowRunner - Premium Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 497,400"
"SnowRunner - Premium Edition (Simplified Chinese, English, Traditional Chinese)","Rp 497,400"
God of War™ III Remastered PlayStation®Hits (English/Chinese Ver.),"Rp 154,500"
"Immortals Fenyx Rising - Digital Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 187,250"
"IMMORTALS FENYX RISING SEASON PASS (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 204,500"
"Sakuna: Of Rice and Ruin (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 188,300"
"Sakuna: Of Rice and Ruin - Digital Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 244,300"
"Batman: Arkham Collection (English, Korean)","Rp 166,000"
"Capcom Fighting Bundle (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 540,150"
"Capcom Fighting Collection (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 415,500"
"Teenage Mutant Ninja Turtles: The Cowabunga Collection PS4 & PS5 (English, Japanese)","Rp 419,050"
"Capcom Arcade Stadium Pack 1: Dawn of the Arcade (’84 – ’88) (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 147,560"
"Capcom Arcade Stadium Pack 2: Arcade Revolution (’89 – ’92) (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 147,560"
"Capcom Arcade Stadium Pack 3: Arcade Evolution (’92 – ’01) (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 147,560"
"Capcom Arcade Stadium Packs 1, 2, and 3 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 288,000"
KNACK 2 (English/Chinese/Korean Ver.),"Rp 214,500"
"Ratchet ＆ Clank™ PlayStation®Hits (Simplified Chinese, English, Korean)","Rp 111,600"
"DIRT 5 PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","Rp 232,120"
"Mafia: Trilogy (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 339,600"
The Elder Scrolls Online Collection: High Isle - PS4 & PS5 (English),"Rp 414,500"
WWE 2K22 nWo 4-Life Edition (English),"Rp 1,019,400"
WWE 2K22 Season Pass for PS5™ (English Ver.),"Rp 471,750"
"Overcooked! All You Can Eat (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Unavailable
"Assassin's Creed Valhalla - Digital Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 247,170"
"Assassin's Creed Valhalla Ragnarök Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 414,750"
"Assassin’s Creed® Valhalla + Immortals Fenyx Rising™ Bundle (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 491,700"
"Assassin’s Creed® Valhalla + Immortals Fenyx Rising™ Bundle (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 491,700"
"Assassin's Creed Valhalla: Dawn of Ragnarök (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 257,500"
"Far Cry 6 - Digital Gold Edition PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 411,600"
"Far Cry® 6 Season Pass (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 204,500"
"Riders Republic - Deluxe Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 306,570"
"Riders Republic Ultimate Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 408,870"
"Watch Dogs: Legion - Gold Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 257,250"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 187,250"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 187,250"
"Tales of ARISE：Ultimate Edition PS4 & PS5 (English, Japanese)","Rp 794,500"
"F1® 22 Champions Edition  PS4™ & PS5™ (Simplified Chinese, English, Japanese)","Rp 677,400"
"Devil May Cry 5 + Vergil (English, Japanese)","Rp 138,270"
Devil May Cry 5 Deluxe Upgrade (English/Chinese/Korean/Japanese Ver.),"Rp 133,900"
In-game Unlock Bundle (English/Chinese/Korean/Japanese Ver.),"Rp 72,750"
Super Character 3-Pack (English/Chinese/Korean/Japanese Ver.),"Rp 63,000"
TEKKEN 7 - Originals Edition (English),"Rp 269,750"
ONE PIECE: PIRATE WARRIORS 4 - Deluxe Edition (English Ver.),"Rp 269,750"
"Assassin's Creed Odyssey - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 186,250"
